SERIES;PRODUCCIÓN DE TURISMOS;EXPORTACIONES DE TURISMOS;MATRICULACIONES DE TURISMOS.  TOTAL
198709;134965,0000000000000000;68539,0000000000000000;55764,0000000000000000
198710;131602,0000000000000000;68244,0000000000000000;78690,0000000000000000
198711;136135,0000000000000000;72788,0000000000000000;78445,0000000000000000
198712;106610,0000000000000000;56969,0000000000000000;86266,0000000000000000
198801;118452,0000000000000000;56661,0000000000000000;81012,0000000000000000
198802;123865,0000000000000000;67930,0000000000000000;81713,0000000000000000
198803;135121,0000000000000000;75149,0000000000000000;104756,0000000000000000
198804;129271,0000000000000000;69459,0000000000000000;95242,0000000000000000
198805;148643,0000000000000000;76793,0000000000000000;97714,0000000000000000
198806;142953,0000000000000000;70591,0000000000000000;102203,0000000000000000
198807;138411,0000000000000000;72925,0000000000000000;106479,0000000000000000
198808;26427,0000000000000000;13783,0000000000000000;76448,0000000000000000
198809;140686,0000000000000000;76604,0000000000000000;68378,0000000000000000
198810;137718,0000000000000000;70604,0000000000000000;85320,0000000000000000
198811;141514,0000000000000000;74020,0000000000000000;88928,0000000000000000
198812;114306,0000000000000000;62570,0000000000000000;95943,0000000000000000
198901;142567,0000000000000000;75551,0000000000000000;86803,0000000000000000
198902;132611,0000000000000000;73660,0000000000000000;97215,0000000000000000
198903;142523,0000000000000000;79508,0000000000000000;109422,0000000000000000
198904;144401,0000000000000000;77437,0000000000000000;94817,0000000000000000
198905;153416,0000000000000000;83564,0000000000000000;100780,0000000000000000
198906;157821,0000000000000000;91498,0000000000000000;117883,0000000000000000
198907;145175,0000000000000000;80787,0000000000000000;113877,0000000000000000
198908;36149,0000000000000000;22818,0000000000000000;75610,0000000000000000
198909;156724,0000000000000000;81809,0000000000000000;72586,0000000000000000
198910;157156,0000000000000000;87567,0000000000000000;94609,0000000000000000
198911;158938,0000000000000000;98893,0000000000000000;91543,0000000000000000
198912;110295,0000000000000000;72257,0000000000000000;93923,0000000000000000
199001;161890,0000000000000000;98128,0000000000000000;85485,0000000000000000
199002;148218,0000000000000000;88647,0000000000000000;84872,0000000000000000
199003;157996,0000000000000000;93729,0000000000000000;105810,0000000000000000
199004;138984,0000000000000000;87216,0000000000000000;91076,0000000000000000
199005;165684,0000000000000000;101648,0000000000000000;96563,0000000000000000
199006;162435,0000000000000000;105223,0000000000000000;93942,0000000000000000
199007;148965,0000000000000000;96326,0000000000000000;107857,0000000000000000
199008;30798,0000000000000000;19997,0000000000000000;75208,0000000000000000
199009;141609,0000000000000000;89003,0000000000000000;51847,0000000000000000
199010;147736,0000000000000000;90535,0000000000000000;77258,0000000000000000
199011;164824,0000000000000000;116572,0000000000000000;70702,0000000000000000
199012;110162,0000000000000000;78983,0000000000000000;66574,0000000000000000
199101;151257,0000000000000000;113585,0000000000000000;67999,0000000000000000
199102;136506,0000000000000000;103832,0000000000000000;70579,0000000000000000
199103;129351,0000000000000000;100127,0000000000000000;77765,0000000000000000
199104;152974,0000000000000000;112185,0000000000000000;82800,0000000000000000
199105;159807,0000000000000000;108630,0000000000000000;84266,0000000000000000
199106;162705,0000000000000000;117381,0000000000000000;84641,0000000000000000
199107;173519,0000000000000000;114079,0000000000000000;102484,0000000000000000
199108;35235,0000000000000000;39857,0000000000000000;60327,0000000000000000
199109;173423,0000000000000000;118697,0000000000000000;57349,0000000000000000
199110;197656,0000000000000000;133400,0000000000000000;81915,0000000000000000
199111;174489,0000000000000000;126661,0000000000000000;71270,0000000000000000
199112;126753,0000000000000000;96013,0000000000000000;72605,0000000000000000
199201;167684,0000000000000000;119942,0000000000000000;87948,0000000000000000
199202;168632,0000000000000000;111986,0000000000000000;87515,0000000000000000
199203;175615,0000000000000000;115843,0000000000000000;99159,0000000000000000
199204;163591,0000000000000000;105374,0000000000000000;94198,0000000000000000
199205;165635,0000000000000000;113629,0000000000000000;86356,0000000000000000
199206;180153,0000000000000000;120142,0000000000000000;96986,0000000000000000
199207;169640,0000000000000000;119321,0000000000000000;111299,0000000000000000
199208;21007,0000000000000000;19764,0000000000000000;51446,0000000000000000
199209;168685,0000000000000000;127799,0000000000000000;61318,0000000000000000
199210;156312,0000000000000000;117446,0000000000000000;74328,0000000000000000
199211;156221,0000000000000000;122843,0000000000000000;69780,0000000000000000
199212;99047,0000000000000000;80379,0000000000000000;88066,0000000000000000
199301;98249,0000000000000000;71999,0000000000000000;43143,0000000000000000
199302;119684,0000000000000000;93965,0000000000000000;60891,0000000000000000
199303;140535,0000000000000000;109051,0000000000000000;77092,0000000000000000
199304;130914,0000000000000000;89884,0000000000000000;67523,0000000000000000
199305;140956,0000000000000000;116770,0000000000000000;69437,0000000000000000
199306;167519,0000000000000000;131419,0000000000000000;77284,0000000000000000
199307;152506,0000000000000000;123497,0000000000000000;90287,0000000000000000
199308;16890,0000000000000000;16661,0000000000000000;49918,0000000000000000
199309;140683,0000000000000000;112090,0000000000000000;52187,0000000000000000
199310;133287,0000000000000000;107080,0000000000000000;58109,0000000000000000
199311;147769,0000000000000000;120336,0000000000000000;57910,0000000000000000
199312;116866,0000000000000000;89466,0000000000000000;71658,0000000000000000
199401;131902,0000000000000000;98841,0000000000000000;54977,0000000000000000
199402;155128,0000000000000000;122642,0000000000000000;64490,0000000000000000
199403;167370,0000000000000000;126624,0000000000000000;88819,0000000000000000
199404;164008,0000000000000000;129224,0000000000000000;72145,0000000000000000
199405;175707,0000000000000000;132171,0000000000000000;89907,0000000000000000
199406;175493,0000000000000000;119675,0000000000000000;98017,0000000000000000
199407;155588,0000000000000000;102323,0000000000000000;104812,0000000000000000
199408;23003,0000000000000000;20171,0000000000000000;65899,0000000000000000
199409;170272,0000000000000000;116337,0000000000000000;65201,0000000000000000
199410;179140,0000000000000000;138670,0000000000000000;71931,0000000000000000
199411;187415,0000000000000000;147002,0000000000000000;68761,0000000000000000
199412;141252,0000000000000000;104198,0000000000000000;93883,0000000000000000
199501;174814,0000000000000000;124902,0000000000000000;54513,0000000000000000
199502;173563,0000000000000000;135838,0000000000000000;66954,0000000000000000
199503;200236,0000000000000000;149084,0000000000000000;95812,0000000000000000
199504;152684,0000000000000000;114644,0000000000000000;74758,0000000000000000
199505;203058,0000000000000000;153754,0000000000000000;82887,0000000000000000
199506;199670,0000000000000000;153861,0000000000000000;104472,0000000000000000
199507;179429,0000000000000000;144780,0000000000000000;77071,0000000000000000
199508;29074,0000000000000000;23974,0000000000000000;53236,0000000000000000
199509;185247,0000000000000000;147816,0000000000000000;52302,0000000000000000
199510;167108,0000000000000000;140704,0000000000000000;63463,0000000000000000
199511;176304,0000000000000000;147624,0000000000000000;66334,0000000000000000
199512;117530,0000000000000000;100175,0000000000000000;78598,0000000000000000
199601;173629,0000000000000000;142613,0000000000000000;59913,0000000000000000
199602;170322,0000000000000000;132902,0000000000000000;77137,0000000000000000
199603;181990,0000000000000000;136600,0000000000000000;100551,0000000000000000
199604;174938,0000000000000000;138108,0000000000000000;79007,0000000000000000
199605;198179,0000000000000000;157922,0000000000000000;87914,0000000000000000
199606;180958,0000000000000000;141654,0000000000000000;83813,0000000000000000
199607;175693,0000000000000000;138335,0000000000000000;108708,0000000000000000
199608;42960,0000000000000000;36590,0000000000000000;55298,0000000000000000
199609;157555,0000000000000000;120935,0000000000000000;63498,0000000000000000
199610;185725,0000000000000000;146090,0000000000000000;84889,0000000000000000
199611;173923,0000000000000000;142769,0000000000000000;75800,0000000000000000
199612;122452,0000000000000000;98336,0000000000000000;91657,0000000000000000
199701;174553,0000000000000000;134744,0000000000000000;73652,0000000000000000
199702;151412,0000000000000000;113341,0000000000000000;78974,0000000000000000
199703;169317,0000000000000000;126807,0000000000000000;103278,0000000000000000
199704;190381,0000000000000000;148160,0000000000000000;95946,0000000000000000
199705;191241,0000000000000000;158698,0000000000000000;94226,0000000000000000
199706;186874,0000000000000000;152518,0000000000000000;100062,0000000000000000
199707;173656,0000000000000000;148258,0000000000000000;126439,0000000000000000
199708;34641,0000000000000000;34836,0000000000000000;64475,0000000000000000
199709;194754,0000000000000000;162038,0000000000000000;69501,0000000000000000
199710;211289,0000000000000000;174386,0000000000000000;95614,0000000000000000
199711;188659,0000000000000000;159822,0000000000000000;84340,0000000000000000
199712;143455,0000000000000000;126789,0000000000000000;104276,0000000000000000
199801;177521,0000000000000000;141413,0000000000000000;78256,0000000000000000
199802;187141,0000000000000000;150186,0000000000000000;94132,0000000000000000
199803;207432,0000000000000000;167396,0000000000000000;119928,0000000000000000
199804;192711,0000000000000000;151940,0000000000000000;108074,0000000000000000
199805;202048,0000000000000000;157648,0000000000000000;106827,0000000000000000
199806;214229,0000000000000000;166739,0000000000000000;124426,0000000000000000
199807;189544,0000000000000000;148778,0000000000000000;146729,0000000000000000
199808;64424,0000000000000000;50596,0000000000000000;72045,0000000000000000
199809;203120,0000000000000000;155350,0000000000000000;79380,0000000000000000
199810;210900,0000000000000000;164210,0000000000000000;110512,0000000000000000
199811;208678,0000000000000000;160747,0000000000000000;110553,0000000000000000
199812;158638,0000000000000000;123514,0000000000000000;127535,0000000000000000
199901;183491,0000000000000000;139910,0000000000000000;89063,0000000000000000
199902;203372,0000000000000000;163682,0000000000000000;115852,0000000000000000
199903;219283,0000000000000000;178121,0000000000000000;157077,0000000000000000
199904;170873,0000000000000000;136541,0000000000000000;120980,0000000000000000
199905;214361,0000000000000000;175358,0000000000000000;131023,0000000000000000
199906;215380,0000000000000000;177994,0000000000000000;155878,0000000000000000
